Layer,Age,Lacerta,Ophidia,Ochotona,Spermophilus_citellus,Sicista,Cricetulus,Apodemus
11,20000,0,0,100,0,0,0,0
10,18000,0,0,93,7,0,0,0
9,18000,0,0,93,0,0,7,0
8,17000,0,0,75,17,0,8,0
7,15000,0,0,70,18,0,12,0
6,15000,8,0,54,23,0,15,0
5,12000,62,5,5,5,19,0,5
4,12000,57,13,9,4,13,4,0
3,10000,33,30,5,0,25,0,8
2,7000,26,6,1,0,16,0,50
1,4000,11,6,0,2,6,0,75
