"";"Layer";"Age";"Lacerta";"Ophidia";"Ochotona";"Spermophilus_citellus";"Sicista";"Cricetulus";"Apodemus"
"1";11;20000;0;0;33;0;0;0;0
"2";10;18000;0;0;136;10;0;0;0
"3";9;18000;0;0;32;0;0;2;0
"4";8;17000;0;0;94;21;0;10;0
"5";7;15000;0;0;91;23;0;16;0
"6";6;15000;11;0;72;31;0;20;0
"7";5;12000;53;4;4;4;16;0;4
"8";4;12000;56;13;9;4;13;4;0
"9";3;10000;26;23;4;0;20;0;6
"10";2;7000;15;3;1;0;9;0;28
"11";1;4000;9;5;0;2;5;0;59
